"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
5192018,519,2018,"AR0040900","AR0040900","","N","N",,"I","CAVE SPRINGS","CAVE SPRINGS POLICE DEPARTMENT CAVE SPRINGS","Cave Springs","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",4981,23355,"ARUCR0001","Arkansas Crime Information Center","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",7,0,7,0,0,0,0,0,01-FEB-99,01-DEC-03,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BENTON","Fayetteville-Springdale-Rogers, AR","Y","Y","Y"
5202018,520,2018,"AR0041100","AR0041100","","N","N",,"I","SULPHUR SPRINGS","SULPHUR SPRINGS POLICE DEPARTMENT","Sulphur Springs","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",543,23355,"ARUCR0001","Arkansas Crime Information Center","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-FEB-99,01-JAN-04,01-JAN-16,01-JAN-16,01-JAN-16,01-JAN-16,"N","BENTON","Fayetteville-Springdale-Rogers, AR","Y","Y","Y"
5212018,521,2018,"AR0041300","AR0041300","","N","N",,"I","CENTERTON","CENTERTON POLICE DEPARTMENT","Centerton","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",14791,23355,"ARUCR0001","Arkansas Crime Information Center","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",22,0,22,0,2,2,0,0,01-FEB-99,01-JAN-03,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BENTON","Fayetteville-Springdale-Rogers, AR","Y","Y","Y"
5232018,523,2018,"AR0041600","AR0041600","","N","N",,"I","LITTLE FLOCK","LITTLE FLOCK POLICE DEPARTMENT","Little Flock","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",2787,23355,"ARUCR0001","Arkansas Crime Information Center","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",6,0,6,0,0,0,0,0,01-FEB-99,01-JAN-05,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BENTON","Fayetteville-Springdale-Rogers, AR","Y","Y","Y"
5242018,524,2018,"AR0042000","AR0042000","","N","N",,"I","HIGHFILL","HIGHFILL POLICE DEPARTMENT","Highfill","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",663,23355,"ARUCR0001","Arkansas Crime Information Center","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-FEB-99,01-APR-07,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BENTON","Fayetteville-Springdale-Rogers, AR","Y","Y","Y"
5252018,525,2018,"AR0042100","AR0042100","","N","N",,"I","BELLA VISTA","BELLA VISTA POLICE DEPARTMENT","Bella Vista","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",28798,23355,"ARUCR0001","Arkansas Crime Information Center","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",32,4,36,2,11,13,0,0,01-FEB-99,01-JAN-08,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BENTON","Fayetteville-Springdale-Rogers, AR","Y","Y","Y"
5262018,526,2018,"AR0050000","AR0050000","","N","N",,"I","BOONE","BOONE CO SO HARRISON","Boone","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","County",23510,23355,"ARUCR0001","Arkansas Crime Information Center","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",26,16,42,0,14,14,0,0,01-FEB-99,01-JAN-08,01-JAN-15,01-JAN-15,01-JAN-15,01-JAN-15,"N","BOONE","Non-MSA","Y","Y","Y"
5272018,527,2018,"AR0050100","AR0050100","","N","N",,"I","HARRISON","HARRISON PD","Harrison","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",13100,23355,"ARUCR0001","Arkansas Crime Information Center","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",32,2,34,2,10,12,0,0,01-FEB-99,01-DEC-02,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BOONE","Non-MSA","Y","Y","Y"
5282018,528,2018,"AR0050200","AR0050200","","N","N",,"I","DIAMOND CITY","DIAMOND CITY PD","Diamond City","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",794,23355,"ARUCR0001","Arkansas Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",1,0,1,0,0,0,0,0,01-FEB-99,01-JAN-08,01-JAN-16,01-JAN-16,01-JAN-16,01-JAN-16,"N","BOONE","Non-MSA","Y","Y","Y"
5292018,529,2018,"AR0060000","AR0060000","","N","N",,"I","BRADLEY","BRADLEY CO SO WARREN","Bradley","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","County",5158,23355,"ARUCR0001","Arkansas Crime Information Center","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",5,0,5,0,4,4,0,0,01-FEB-99,01-JAN-05,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BRADLEY","Non-MSA","Y","Y","Y"
