"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2017,96592134,110232992
2017,96592399,110233238
2017,96592399,110233240
2017,96592876,110233703
2017,96592955,110233774
2017,96593024,110233853
2017,96593270,110234101
2017,96593384,110234219
2017,96593445,110234274
2017,96593607,110234417
2017,96593701,110234528
2017,96594160,110234951
2017,96594206,110235002
2017,96594280,110235066
2017,96594341,110235126
2017,96594338,110235126
2017,96594389,110235175
2017,96594498,110235283
2017,96594887,110235659
2017,96594906,110235658
2017,96594973,110235741
2017,96595079,110235856
2017,96595308,110236064
2017,96595727,110236476
2017,96596140,110236881
2017,96596540,110237260
2017,96596540,110237258
2017,96597107,110237807
2017,96597107,110237814
2017,96597261,110237971
2017,96597537,110238243
2017,96597537,110238250
2017,96597656,110238391
2017,96598494,110239181
2017,96599659,110240317
2017,96599762,110240431
2017,96599857,110240517
2017,96599923,110240578
2017,96599923,110240582
2017,96600075,110240750
2017,96600198,110240872
2017,96600701,110241339
2017,96600848,110241489
2017,96604944,110245655
2017,96605378,110246084
2017,96605595,110246309
2017,96605961,110246687
2017,96606094,110246831
2017,99887314,113558054
2017,99887307,113558058
2017,99887307,113558054
2017,99887314,113558057
2017,99887311,113558057
2017,99887311,113558054
2017,99887365,113558141
2017,99887398,113558176
2017,99887424,113558202
2017,99887501,113558278
2017,99887501,113558277
2017,99887532,113558311
2017,99887532,113558314
2017,99887578,113558373
2017,99887626,113558422
2017,99888513,113559313
2017,99888311,113559120
2017,99888353,113559158
2017,99888449,113559254
2017,99888581,113559383
2017,99888622,113559425
2017,99888692,113559505
2017,99888733,113559543
2017,99888755,113559566
2017,99888792,113559610
2017,99888947,113559767
2017,99888996,113559821
2017,99889039,113559854
2017,99889065,113559881
2017,99889150,113559972
2017,99889231,113560055
2017,99889254,113560077
2017,99889263,113560090
2017,99889314,113560136
2017,99889337,113560160
2017,99889362,113560191
2017,99889389,113560220
2017,99889410,113560240
2017,99889418,113560252
2017,99889426,113560252
2017,99889759,113560623
2017,99889764,113560624
2017,99889815,113560684
2017,99889814,113560679
2017,102115023,115786014
2017,99890079,113560942
2017,99890196,113561070
2017,99890236,113561118
2017,99890261,113561140
2017,99890272,113561149
2017,99890445,113561342
2017,99890534,113561429
2017,102115091,115786069
2017,102115091,115786073
2017,102115134,115786117
2017,102115185,115786163
2017,102115270,115786251
2017,102115331,115786305
2017,99891050,113561980
2017,99891040,113561980
2017,99891078,113562015
2017,102115331,115786310
2017,99891174,113562127
2017,99891190,113562142
2017,99891364,113562331
2017,99891364,113562325
2017,99891367,113562323
2017,102115379,115786361
2017,102115407,115786390
2017,102115427,115786409
2017,102115433,115786412
2017,102115636,115786616
2017,99892793,113563893
2017,102115696,115786679
2017,99893019,113564102
2017,102115813,115786802
2017,99893338,113564438
2017,99893355,113564458
2017,99893364,113564458
2017,99893417,113564526
2017,99893896,113565057
2017,99893948,113565121
2017,102116238,115787221
2017,99894234,113565422
2017,102116296,115787266
2017,99894759,113565995
2017,99894881,113566121
2017,99894978,113566231
2017,99895201,113566494
2017,99895178,113566468
2017,99895338,113566634
2017,99895314,113566616
2017,99895376,113566681
2017,99895428,113566745
2017,102116326,115787294
2017,99895574,113566903
2017,99895573,113566903
2017,99895737,113567100
2017,99895867,113567239
2017,99895896,113567258
2017,99895918,113567276
2017,99895924,113567276
2017,99895916,113567276
2017,99895921,113567276
2017,99896029,113567400
2017,99896140,113567537
2017,99896157,113567550
2017,99896271,113567670
2017,99896365,113567781
2017,103763086,117452152
2017,103763126,117452164
2017,103763310,117452388
2017,103763676,117452783
2017,103763795,117452899
2017,103763798,117452899
2017,99346698,113011408
2017,99346747,113011471
2017,99346882,113011617
2017,99346930,113011669
2017,99347220,113012001
2017,99347272,113012055
2017,99347405,113012195
2017,99347492,113012294
2017,99347931,113012716
2017,99347933,113012716
2017,99347996,113012796
2017,99348064,113012861
2017,99348074,113012875
2017,99348117,113012917
2017,99348142,113012939
2017,99348232,113013033
2017,99348297,113013098
2017,99348342,113013137
2017,99351675,113016500
2017,99351721,113016544
2017,99351749,113016572
2017,99351773,113016598
2017,99351815,113016639
2017,99351855,113016673
2017,99351866,113016690
2017,99351979,113016813
2017,99352015,113016855
