suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
12,19182375,0.002,1,1054954
5,19182377,0.001,1,1054955
12,19182379,0.001,1,1054956
17,19182382,0,,1054957
17,19182384,0,,1054958
5,19182387,0.001,1,1054959
17,19182394,0,,1054960
5,19182396,4,1,1054961
16,19179980,0.001,1,1054962
12,19176672,0.002,1,1054997
17,19176741,0,,1054998
5,19174283,0.001,1,1055005
5,19176743,0.001,1,1055010
12,19176793,0.001,1,1055011
5,19176795,0.001,1,1055012
17,19174328,0,,1055015
5,19176864,0.001,1,1055020
5,19176871,0.001,1,1055021
5,19176025,0.001,1,1055078
17,19173574,0,,1055086
17,19173583,0,,1055087
5,19173597,0.003,1,1055097
16,19173603,0.001,1,1055098
5,19177311,0.001,1,1055141
5,19177318,0.001,1,1055142
17,19177322,0,,1055143
5,19189799,0.001,1,1055210
5,19189802,0.001,1,1055211
2,19189805,0.001,1,1055212
5,19189811,0.001,1,1055213
5,19191043,0.001,1,1055215
5,19188679,0.001,1,1055220
12,19189832,0.5,1,1055221
5,19189836,0.25,1,1055222
5,19189844,0.001,1,1055223
5,19189853,0.001,1,1055224
5,19189855,0.001,1,1055225
5,19189867,0.001,1,1055226
5,19189870,0.001,1,1055227
5,19189872,0.001,1,1055228
5,19189894,0.001,1,1055229
1,19189897,0.001,1,1055230
5,19191059,0.001,1,1055231
5,19191076,14,1,1055232
1,19191077,0.001,1,1055233
12,19191079,0.1,1,1055234
5,19191104,4,3,1055235
5,19191116,0.001,1,1055236
5,19191125,99,1,1055237
12,19187846,12,1,1055272
5,19190200,4,1,1055275
5,19190205,0.001,1,1055276
1,19187852,0.001,1,1055288
17,19187855,0.001,1,1055289
12,19187856,2,1,1055290
5,19187857,1.1,1,1055291
5,19187860,1.1,1,1055292
17,19187869,0,,1055293
17,19187880,0,,1055294
5,19187882,1,4,1055295
5,19190224,3,1,1055298
5,19190244,0.001,1,1055299
12,19190254,0.002,1,1055300
5,19190257,0.001,1,1055301
5,19190261,10,1,1055302
12,19190263,0.001,1,1055303
5,19190275,0.001,1,1055304
5,19190282,92,1,1055305
5,19190286,0.001,1,1055306
17,19187929,0,,1055308
17,19187936,0,,1055309
17,19187939,0,,1055310
12,19187954,0.002,1,1055311
5,19187967,0.5,1,1055312
5,19187971,0.001,1,1055313
12,19187974,0.002,1,1055314
5,19187981,0.001,1,1055315
5,19187991,0.001,1,1055316
5,19187995,0.001,1,1055317
5,19188008,0.001,1,1055327
5,19188016,0.001,1,1055328
5,19188018,0.001,1,1055329
5,19188035,0.001,1,1055330
12,19188044,0.001,1,1055331
17,19188051,0,,1055332
8,19188065,0.001,1,1055333
5,19188067,12,1,1055334
5,19188075,3,1,1055335
12,19188077,1.6,1,1055347
5,19188079,3,1,1055348
5,19188082,0.001,1,1055349
5,19190442,0.001,1,1055352
17,19190453,0,,1055353
5,19190460,0.001,1,1055354
12,19190466,267.9,1,1055355
5,19190470,5,1,1055356
2,19190491,0.01,1,1055357
2,19190503,0.001,1,1055358
5,19190505,158,1,1055359
5,19190507,6,1,1055360
5,19190509,6,1,1055361
5,19190511,0.001,1,1055362
5,19190512,12.8,1,1055363
5,19190514,16,1,1055364
12,19191746,8.5,1,1055369
5,19190516,4.6,1,1055377
5,19190539,0.001,1,1055378
17,19190557,0,,1055379
5,19190563,0.008,1,1055380
5,19190578,0.008,1,1055381
17,19191753,0,,1055383
5,19191754,0.001,1,1055384
12,19191757,18.9,1,1055385
12,19191759,0.4,1,1055386
12,19191761,0.002,1,1055387
5,19191763,36.9,1,1055388
12,19191765,0.002,1,1055389
5,19191767,2,1,1055390
5,19191785,0.001,1,1055391
17,19189504,0,,1055411
17,19189528,0,,1055419
5,19189532,0.001,1,1055420
5,19189550,0.001,1,1055421
5,19189565,0.001,1,1055422
17,19189571,0,,1055423
17,19189583,0,,1055424
17,19189585,0,,1055425
12,19188527,0.001,1,1055432
17,19188532,0,,1055433
17,19189601,0,,1055434
5,19189605,0.001,1,1055435
