"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2017,99371716,1,
2017,99372332,8,
2017,98508445,9,
2017,99361758,10,
2017,99371726,6,
2017,99857506,1,
2017,99367041,1,
2017,99369617,1,
2017,96330759,9,
2017,96547687,1,
2017,96335507,1,
2017,96546907,9,
2017,96546907,1,
2017,108295866,9,
2017,106206549,9,
2017,99377894,1,
2017,98521746,1,
2017,98245564,1,
2017,99373461,1,
2017,108055197,9,
2017,106674220,1,
2017,106674560,9,
2017,99380987,1,
2017,99379875,1,
2017,99386967,1,
2017,99855012,9,
2017,98506766,9,
2017,98243154,10,
2017,99855621,10,
2017,96545918,10,
2017,99378205,9,
2017,96546820,9,
2017,107467997,9,
2017,103716405,9,
2017,104551191,1,
2017,103712514,10,
2017,106205111,10,
2017,107468067,9,
2017,104547533,1,
2017,103708534,9,
2017,103713463,9,
2017,104551155,1,
2017,103710458,9,
2017,98245316,10,
2017,98819794,1,
2017,98230327,1,
2017,98529846,6,
2017,98529553,10,
2017,98505861,9,
2017,107066386,1,
2017,107067890,10,
2017,107062026,1,
2017,107064054,1,
2017,99366492,10,
2017,98519621,9,
2017,99363394,1,
2017,99368207,1,
2017,99374242,1,
2017,96331304,9,
2017,98240917,1,
2017,105262008,1,
2017,105261692,9,
2017,105262581,1,
2017,99374447,1,
2017,99363295,9,
2017,99368763,10,
2017,99373674,1,
2017,98835180,1,
2017,107069012,1,
2017,107070897,1,
2017,99378623,1,
2017,99387139,1,
2017,98506831,9,
2017,97077520,1,
2017,99384675,9,
2017,99381554,1,
2017,103706369,1,
2017,104547443,1,
2017,97074398,1,
2017,105840029,1,
2017,103710776,1,
2017,108028559,6,
2017,108028559,1,
2017,103706865,9,
2017,98241566,1,
2017,98235385,9,
2017,98833441,9,
2017,98519938,1,
2017,98228848,1,
2017,98516877,10,
2017,98834410,10,
2017,98244332,1,
2017,98244536,1,
2017,98820642,9,
2017,98243513,10,
2017,98513021,6,
2017,98248094,1,
2017,106674075,1,
2017,107072051,1,
2017,106656098,1,
2017,99360970,9,
2017,99369922,1,
2017,99371356,1,
2017,99371568,1,
2017,99361528,10,
2017,99364802,10,
2017,99361088,1,
2017,99361088,9,
2017,99370490,1,
2017,99372405,9,
2017,97071567,1,
2017,97069816,1,
2017,105261282,9,
2017,105261720,1,
2017,108295868,9,
2017,99375281,10,
2017,99375636,1,
2017,98834101,1,
2017,108044420,1,
2017,99380238,1,
2017,99857517,1,
2017,104548667,1,
