"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2016,91073519,84029609,5,,
2016,94137284,84034802,7,,
2016,91863965,84408739,4,,
2016,91865085,84040833,5,,
2016,93087577,85839042,7,,
2016,90032165,87071508,7,,
2016,89422564,87072621,7,,
2016,91865132,85841129,7,,
2016,93086540,87074885,7,,
2016,89422658,82884926,4,,
2016,93086614,82886073,5,,
2016,91254572,82886116,5,,1
2016,89423754,82922918,7,,
2016,93086757,84929317,6,,
2016,91864586,84934319,5,,
2016,93087063,84936252,4,,
2016,89871826,87071554,5,,
2016,91702961,85265726,7,1,
2016,91693452,85023622,1,,
2016,93698705,84931374,7,,
2016,93087004,84932274,5,,
2016,92475054,84935329,7,,
2016,92475055,84935345,7,,
2016,89423190,84938322,6,,
2016,91255097,87309792,7,,
2016,93698893,82915865,4,,
2016,93087235,82917981,7,,
2016,89423291,82919012,7,1,
2016,92475341,84031629,7,,
2016,93086338,84550479,7,1,
2016,91864949,84032676,7,,
2016,91863963,84408732,4,,
2016,93086453,87070470,7,,
2016,91863999,87070529,7,,
2016,93698186,87071540,7,,
2016,91255404,84035757,5,,
2016,91254470,87073645,7,,
2016,91255483,84040812,7,,
2016,93699268,84041836,6,,
2016,93086602,82884988,7,,
2016,91864153,82885993,7,,
2016,92474634,82887252,5,,
2016,91254610,82888338,6,,
2016,89423648,85022602,7,0,
2016,89423672,85024481,7,,
2016,92474694,83939751,7,,
2016,91255670,85998466,4,,
2016,90033478,82923897,4,,
2016,93699497,87476108,7,,
2016,89423814,87476133,4,,
2016,93699421,85027458,6,,
2016,91712455,84934348,5,,
2016,89422370,84548569,7,,
2016,89423457,84031684,7,,
2016,89422442,84551501,4,,
2016,90032078,84551533,7,,
2016,89422466,84552486,7,,
2016,93698119,84407717,7,,
2016,90643409,87071507,7,,
2016,90643410,87071510,6,,
2016,90644480,84039851,7,,
2016,90643441,87072671,7,,
2016,93517164,84545771,7,,
2016,93536291,87071626,4,,
2016,93697990,84546705,4,,
2016,93698001,84547619,7,,
2016,93698055,84551405,7,,
2016,93698079,84552360,7,,
2016,93698096,84553341,7,,
2016,93698111,84554295,4,,
2016,93699434,85028321,6,,
2016,90481817,82889438,7,,
2016,90643001,85990285,7,,
2016,92475219,82918026,4,,
2016,89422467,84553333,4,,
2016,90644784,86471329,7,,
2016,92906168,84548527,5,,
