"DATA_YEAR","VICTIM_ID","INJURY_ID"
2016,90300023,5
2016,90300024,5
2016,90299689,5
2016,90299713,5
2016,90299719,5
2016,90299723,5
2016,90299726,5
2016,90299734,5
2016,90299736,5
2016,90299752,5
2016,90299762,5
2016,90299764,5
2016,90299780,5
2016,90299781,5
2016,90299800,5
2016,90299804,5
2016,90299808,5
2016,90299815,5
2016,90299817,5
2016,90299822,5
2016,90299825,5
2016,90299826,5
2016,90299830,5
2016,90299840,5
2016,90299846,5
2016,90299850,5
2016,90299852,5
2016,90299875,5
2016,90299885,5
2016,90299900,5
2016,90299914,5
2016,90299918,5
2016,90299919,5
2016,90299942,5
2016,90299944,5
2016,90299950,5
2016,90299951,5
2016,90299953,5
2016,90299957,5
2016,90299968,5
2016,90299970,5
2016,90299977,5
2016,90300274,5
2016,90300280,5
2016,90300305,5
2016,90300315,5
2016,90300316,5
2016,90300331,5
2016,90300334,5
2016,90300349,5
2016,90300350,5
2016,90300380,5
2016,90300381,5
2016,90300382,5
2016,90300402,5
2016,90300403,5
2016,90300408,5
2016,90300418,5
2016,90300030,5
2016,90300032,5
2016,90300033,5
2016,90300041,5
2016,90300042,5
2016,90300049,5
2016,90300051,5
2016,90300068,5
2016,90300071,5
2016,90300093,5
2016,90300105,5
2016,90300114,5
2016,90300132,5
2016,90300138,5
2016,90300148,5
2016,90300149,5
2016,90300156,5
2016,90300165,5
2016,90300176,5
2016,90300183,5
2016,90300195,5
2016,90300196,5
2016,90300198,5
2016,90300205,5
2016,90300225,5
2016,90300234,5
2016,90300247,5
2016,90300249,5
2016,90300259,5
2016,90300450,5
2016,90300459,5
2016,90300467,5
2016,90300473,5
2016,90300487,5
2016,90300492,5
2016,90300497,5
2016,90300512,5
2016,90300513,5
2016,90300528,5
2016,90300538,5
2016,90300559,5
2016,90300572,5
2016,90300607,5
2016,90300619,5
2016,90300624,5
2016,90300655,5
2016,90300658,5
2016,90300659,5
2016,90300660,5
2016,90300668,5
2016,90300675,5
2016,90300676,5
2016,90300677,5
2016,90300681,5
2016,90300685,5
2016,90300689,5
2016,90300705,5
2016,90300706,5
2016,99851475,5
2016,97063066,5
2016,96250374,4
2016,90297645,1
2016,90298032,1
2016,90298881,1
2016,90300672,1
2016,90297677,4
2016,90297696,4
2016,90297697,4
2016,90297707,4
2016,90297709,4
2016,90297726,4
2016,90297737,4
2016,90297741,4
2016,90297746,4
2016,90297753,4
2016,90297754,4
2016,90297755,4
2016,90297759,4
2016,90297795,4
2016,90297813,4
2016,90297817,4
2016,90297602,4
2016,90297611,4
2016,90297628,4
2016,90297667,4
2016,90298084,4
2016,90298085,4
2016,90298102,4
2016,90298120,4
2016,90298135,4
2016,90298162,4
2016,90298165,4
2016,90298166,4
2016,90298189,4
2016,90298193,4
2016,90298207,4
2016,90298216,4
2016,90297843,4
2016,90297844,4
2016,90297877,4
2016,90297879,4
2016,90297887,4
2016,90297896,4
2016,90297903,4
2016,90297908,4
