offense_type_id,year,state,num_arrests,total_arrests_that_year,perc_tot_arrests
45,2011,CO,4116,77660,0.053000258
35,2011,AL,65,1227,0.052974735
5,2001,MA,2035,38446,0.052931384
35,2003,CO,2444,46225,0.052871823
44,2011,AR,2865,54591,0.052481178
48,2009,MA,3684,70221,0.052462938
40,1992,AL,140,2671,0.052414826
48,2010,MA,3718,71228,0.052198574
49,2010,AR,2867,54934,0.052189901
44,2013,AR,2766,53050,0.052139491
45,2008,CT,2421,46817,0.051711985
27,2011,CO,3998,77660,0.051480814
27,1998,CT,44,856,0.051401869
49,1998,CT,44,856,0.051401869
45,2015,MA,3098,60395,0.051295637
44,2014,AR,2658,51925,0.051189215
44,2006,AZ,81,1584,0.051136364
45,2005,CT,1673,32783,0.051032547
27,2004,CO,2734,53749,0.050866063
5,2000,MA,1653,32548,0.050786531
27,2015,CO,4848,95529,0.050748987
45,2008,CO,3967,78504,0.050532457
44,2007,AR,2003,39741,0.050401349
5,2001,CT,1171,23358,0.050132717
44,2018,AR,3310,66118,0.05006201
11,2018,AL,7,140,0.05
27,2007,AZ,94,1880,0.05
27,2013,CO,4222,84486,0.049972777
27,2001,CO,2020,40565,0.049796623
45,2002,MA,1980,39767,0.049790027
45,2001,MA,1913,38446,0.049758102
48,2007,MA,3305,66532,0.049675344
45,2001,CO,2009,40565,0.049525453
44,1999,CT,315,6363,0.04950495
45,2015,CT,1727,34965,0.049392249
5,2006,MA,2990,60545,0.049384755
27,2012,CO,4260,86528,0.049232618
44,2009,AR,2775,56428,0.049177713
27,2004,AZ,59,1202,0.049084859
45,2004,CT,1667,34008,0.049017878
44,2017,AR,2970,60711,0.048920295
45,2003,MA,1998,40857,0.048902269
5,2003,MA,1995,40857,0.048828842
45,2009,CO,3795,77723,0.048827245
45,2016,MA,2961,60669,0.048805815
45,2000,MA,1588,32548,0.04878948
5,2002,MA,1936,39767,0.048683582
35,2000,CO,2281,46930,0.048604304
27,2014,CO,4477,92163,0.048576978
35,2013,AR,2574,53050,0.048520264
35,2002,CO,1936,39918,0.048499424
45,2000,CO,2274,46930,0.048455146
35,2013,CO,4087,84486,0.048374879
49,2010,MA,3445,71228,0.048365811
45,2007,CT,1693,35110,0.04821988
5,2005,CT,1578,32783,0.048134704
49,2011,MA,3359,69868,0.048076373
35,2001,CO,1945,40565,0.047947738
49,2009,MA,3364,70221,0.047905897
44,2008,AR,2294,47926,0.047865459
5,2002,AR,93,1950,0.047692308
45,2011,CT,1962,41180,0.047644488
5,2003,CT,1331,27941,0.04763609
45,2017,CT,1902,39975,0.047579737
44,2016,AR,2908,61211,0.047507801
40,1991,AL,188,3962,0.047450782
45,1997,CO,2282,48132,0.047411286
27,2003,CO,2191,46225,0.047398594
49,2001,MA,1821,38446,0.047365136
45,2006,AZ,75,1584,0.047348485
35,2017,CO,4634,98112,0.047231735
48,2002,AR,92,1950,0.047179487
27,1999,CT,300,6363,0.047147572
27,2001,CT,1101,23358,0.047135885
49,2012,MA,3294,70084,0.047000742
49,2002,MA,1868,39767,0.046973621
44,2006,AR,1713,36576,0.04683399
35,2014,CO,4315,92163,0.046819222
5,1998,CT,40,856,0.046728972
5,2007,MA,3096,66532,0.046533999
45,1992,AL,124,2671,0.04642456
11,2000,AR,23,496,0.046370968
45,2017,MA,2651,57296,0.0462685
45,2009,MA,3238,70221,0.046111562
45,2016,CT,1788,38905,0.045958103
35,2009,AL,66,1441,0.045801527
35,2018,CO,4453,97234,0.045796738
44,2015,AR,2633,57544,0.045756291
45,2004,MA,2297,50284,0.045680535
49,2003,MA,1865,40857,0.045647013
45,2010,MA,3251,71228,0.045642163
5,2002,CT,1092,23946,0.045602606
5,2004,MA,2290,50284,0.045541325
35,2016,CO,4444,97769,0.045454081
27,2000,CO,2132,46930,0.045429363
45,1999,CO,2018,44458,0.045391156
5,2010,MA,3228,71228,0.045319256
45,2002,CO,1806,39918,0.045242748
48,2006,MA,2736,60545,0.045189528
49,2004,MA,2262,50284,0.044984488
45,2011,AZ,229,5101,0.044893158
44,2016,AL,39,870,0.044827586
49,2007,MA,2980,66532,0.044790477
44,2002,AR,87,1950,0.044615385
39,2017,AL,43,967,0.044467425
5,2004,CT,1512,34008,0.044460127
49,2008,MA,3393,76365,0.044431349
44,2003,AR,664,14975,0.044340568
5,2009,MA,3111,70221,0.044302986
45,2010,CT,1927,43523,0.044275441
48,2004,AZ,53,1202,0.044093178
27,2014,AZ,321,7281,0.044087351
5,2006,CT,1286,29297,0.043895279
45,2008,MA,3326,76365,0.043553984
5,2008,MA,3318,76365,0.043449224
45,2012,AZ,206,4742,0.043441586
5,2008,CT,2032,46817,0.043403037
5,2012,MA,3030,70084,0.043233834
44,2005,AR,1518,35143,0.043194946
48,2005,MA,2487,57784,0.043039596
35,2015,CO,4110,95529,0.043023584
5,2011,MA,3005,69868,0.043009675
44,2012,AL,52,1214,0.042833608
27,2012,CT,1634,38194,0.042781589
49,2013,MA,2964,69368,0.042728636
49,2014,AR,2206,51925,0.042484352
49,2012,CT,1622,38194,0.042467403
35,2010,AL,58,1371,0.042304887
49,2005,MA,2439,57784,0.042208916
27,1998,CO,2153,51040,0.042182602
45,2006,MA,2550,60545,0.042117433
5,2018,MA,2252,53546,0.042057297
27,2011,CT,1731,41180,0.042034968
45,2004,CO,2250,53749,0.041861244
49,2006,MA,2528,60545,0.041754067
49,2000,MA,1355,32548,0.041630822
27,1999,CO,1843,44458,0.041454856
45,2003,CT,1158,27941,0.041444472
5,2016,MA,2513,60669,0.041421484
23,2017,AL,40,967,0.041365047
