"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2016,91938778,1,
2016,91966763,1,
2016,91967546,9,
2016,91969099,1,
2016,91961635,10,
2016,91876642,9,
2016,91884701,1,
2016,91888781,10,
2016,91861061,6,
2016,91943920,1,
2016,91941076,1,
2016,91882224,1,
2016,91937153,9,
2016,91963694,1,
2016,91963238,1,
2016,91934808,10,
2016,91940298,1,
2016,91912238,1,
2016,91966813,1,
2016,91967619,1,
2016,91957717,1,
2016,91957977,2,
2016,91958779,1,
2016,91856491,1,
2016,91939313,1,
2016,91940089,1,
2016,91941610,1,
2016,91937305,6,
2016,91938042,1,
2016,91962768,1,
2016,91878845,1,
2016,91889627,1,
2016,91890389,1,
2016,91887612,10,
2016,91865765,1,
2016,91868117,1,
2016,91941145,1,
2016,91967146,9,
2016,91966693,1,
2016,91968265,1,
2016,91871723,1,
2016,91982246,10,
2016,91985345,9,
2016,91984698,1,
2016,91819754,1,
2016,91856526,10,
2016,91938587,6,
2016,91944255,1,
2016,91916258,1,
2016,91823170,1,
2016,91888073,10,
2016,91890454,3,
2016,91890047,1,
2016,91909163,1,
2016,91958219,1,
2016,91958247,1,
2016,91961437,1,
2016,91823289,6,
2016,91963327,6,
2016,91966428,1,
2016,91883247,1,
2016,91916773,9,
2016,91913921,2,
2016,91962277,1,
2016,91957014,1,
2016,91937864,1,
2016,91938636,1,
2016,91907249,1,
2016,91986024,1,
2016,91992905,9,
2016,91958594,6,
2016,91958600,1,
2016,91877381,1,
2016,91886918,10,
2016,91912090,1,
2016,91912867,1,
2016,91912874,1,
2016,91987591,9,
2016,91959874,1,
2016,91984542,10,
2016,91987648,1,
2016,91821865,9,
2016,91823464,1,
2016,91983710,1,
2016,91986052,1,
2016,91963085,1,
2016,91870257,1,
2016,91890128,9,
2016,91937158,1,
2016,91916025,1,
2016,91958621,1,
2016,91958832,10,
2016,91844858,10,
2016,91822119,9,
2016,91820610,9,
2016,91827904,1,
2016,91825802,10,
2016,91826618,1,
2016,91821117,1,
2016,91825233,10,
2016,91825262,10,
2016,91829335,1,
2016,91827822,6,
2016,91821517,10,
2016,91821803,1,
2016,91823522,1,
2016,91827624,1,
2016,91825750,10,
2016,91823440,1,
2016,91829100,1,
2016,91819695,6,
2016,91985319,1,
2016,91964644,1,
2016,91966177,1,
2016,91966988,1,
2016,91831154,1,
2016,91821590,9,
2016,91822418,6,
2016,91828136,6,
2016,91828143,9,
2016,91826679,1,
2016,91837944,10,
2016,91836416,1,
2016,91856245,1,
2016,91830214,1,
2016,91826896,1,
2016,91829351,1,
2016,91819992,1,
2016,91819403,1,
2016,106230092,1,
2016,110123711,6,
2016,104166682,2,
2016,101385583,6,
2016,101325732,6,
2016,100023535,9,
2016,96840663,1,
2016,96851321,10,
2016,98209214,1,
2016,91887113,10,
2016,98203296,1,
2016,98979729,2,
2016,100022911,9,
2016,98209155,1,
2016,98204355,1,
2016,91888366,10,
2016,91892442,6,
2016,91819237,1,
2016,91823274,9,
2016,91821003,1,
2016,91821097,2,
2016,91983804,2,
2016,91823090,10,
2016,91893832,6,
2016,91937713,1,
2016,91967222,1,
2016,91860320,8,
2016,91911359,1,
2016,91964192,9,
2016,91911211,2,
2016,110123940,1,
2016,98204248,9,
2016,98208603,10,
2016,99059480,9,
2016,97805314,10,
2016,98203285,2,
2016,107134965,1,
2016,91819565,9,
2016,91821128,9,
2016,91821912,1,
2016,91823514,10,
2016,91821947,1,
2016,91858757,1,
2016,91938706,10,
