"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2018,12,133718470,24678682
2018,18,133718470,24678683
2018,18,133724000,24682729
2018,12,133713905,24682727
2018,12,133718500,24678696
2018,10,133724031,24682741
2018,12,133724064,24678706
2018,12,133724099,24682765
2018,12,133713997,24676316
2018,12,133718596,24682772
2018,18,133724135,24682776
2018,11,133724145,24678725
2018,12,133724155,24682782
2018,12,133724182,24682789
2018,12,133747652,24688568
2018,20,133747657,24688569
2018,12,133747613,24688560
2018,9,133747654,24685894
2018,12,133747650,24688567
2018,18,133752874,24685895
2018,11,133756708,24681068
2018,19,133747665,24688572
2018,18,133756710,24681070
2018,12,133747685,24685901
2018,12,133756747,24685902
2018,12,133752934,24681076
2018,12,133756777,24688586
2018,12,133752969,24681083
2018,10,133756798,24681085
2018,9,133756798,24688591
2018,18,133752995,24688593
2018,18,133752998,24681089
2018,12,133747738,24681088
2018,3,133756820,24681090
2018,3,133756843,24685915
2018,12,133756897,24685926
2018,12,133753065,24685927
2018,20,133747791,24681104
2018,12,133747797,24688603
2018,12,133747799,24685930
2018,12,133747811,24685932
2018,20,133747823,24681110
2018,18,133756966,24685940
2018,10,133756968,24681123
2018,10,133757087,24685977
2018,9,133753262,24681157
2018,12,133753273,24681163
2018,12,133753272,24681161
2018,10,133757104,24685980
2018,12,133757107,24688631
2018,12,133748049,24688651
2018,12,133753464,24686026
2018,12,133753481,24681212
2018,6,133748070,24681213
2018,12,133753511,24681221
2018,2,133753539,24688668
2018,12,133753722,24681283
2018,12,133757558,24681284
2018,12,133757606,24686087
2018,12,133748334,24688711
2018,12,133748343,24688713
2018,20,133748347,24688714
2018,18,133757739,24686116
2018,12,133753911,24681316
2018,9,133748353,24681318
2018,12,133748356,24688716
2018,12,133748360,24686125
2018,12,133748380,24688721
2018,10,133757786,24681329
2018,3,133748400,24686137
2018,12,133748398,24688727
2018,12,133748405,24688729
2018,20,133748411,24681336
2018,10,133748409,24688731
2018,20,133748418,24688735
2018,12,133748424,24688739
2018,10,133748421,24688736
2018,18,133748423,24688738
2018,20,133748425,24688740
2018,2,133748441,24688746
2018,12,133748452,24688751
2018,17,133748449,24688750
2018,12,133748449,24688749
2018,12,133754038,24681360
2018,12,133754036,24681357
2018,9,133748455,24681358
2018,12,133748465,24688755
2018,12,133754073,24681376
2018,12,133757955,24686179
2018,20,133748478,24688759
2018,20,133757961,24686182
2018,12,133748495,24688768
2018,10,133757970,24686185
2018,12,133757991,24686190
2018,9,133754119,24688774
2018,12,133748514,24688776
2018,22,133754131,24681394
2018,19,133748525,24688778
2018,18,133754149,24681397
2018,12,133758041,24686208
