agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
2106,CO0621600,CO0621600,University of Northern Colorado,University of Northern Colorado,3,University or College,,795,,,7,CO,317,Weld,08123,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1979,,2016,2013,2016,0,7,"Cities under 2,500",L,Y,N,12,12,10,,,,2016,16,8,80639,40.555794,-104.383649
1896,CO0150400,CO0150400,Cedaredge Police Department,Cedaredge,1,City,,,1052,Cedaredge,7,CO,270,Delta,08029,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1978,,2016,2013,,2172,7,"Cities under 2,500",L,N,N,0,0,7,,,,2016,6,2,81413,38.861756,-107.864757
2005,CO0390800,CO0390800,Mesa State College,Mesa State College,3,University or College,,359,,,7,CO,294,Mesa,08077,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1998,,2016,2014,2000,0,7,"Cities under 2,500",L,Y,N,0,0,0,2001,CO0390100,Grand Junction,1999,8,1,81501,39.019492,-108.461837
1872,CO0080100,CO0080100,Buena Vista Police Department,Buena Vista,1,City,,,1045,Buena Vista,7,CO,263,Chaffee,08015,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1967,,2016,2013,2016,2764,6,"Cities from 2,500 thru 9,999",L,N,N,12,12,10,,,,2016,8,1,81211,38.738244,-106.316955
1860,CO0060000,CO0060000,Bent County Sheriff's Office,Bent,2,County,,,,,7,CO,260,Bent,08011,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,5452,8D,"Non-MSA counties under 10,000",L,N,N,12,12,9,,,,2016,13,14,81054,37.931891,-103.077584
2094,CO0620400,CO0620400,Evans Police Department,Evans,1,City,,,1084,Evans,7,CO,317,Weld,08123,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1976,,2016,2013,2016,20955,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,35,3,80620,40.555794,-104.383649
1967,CO0300900,CO0300900,Mountain View Police Department,Mountain View,1,City,,,1068,Denver,7,CO,285,Jefferson,08059,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1977,,2016,2014,2016,526,7,"Cities under 2,500",L,Y,N,12,12,6,,,,2016,8,0,80212,39.576572,-105.251249
1883,CO0110300,CO0110300,La Jara Police Department,La Jara,1,City,,,1126,La Jara,7,CO,266,Conejos,08021,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1976,,2016,2014,2012,815,7,"Cities under 2,500",L,N,N,0,0,0,1880,CO0110000,Conejos,2003,4,0,81140,37.213406,-106.176447
2097,CO0620700,CO0620700,Erie Police Department,Erie,1,City,,,1082,Erie,7,CO,317,Weld,08123,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1976,,2016,2013,2016,21096,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,25,2,80516,40.555794,-104.383649
1880,CO0110000,CO0110000,Conejos County Sheriff's Office,Conejos,2,County,,,,,7,CO,266,Conejos,08021,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,7425,8D,"Non-MSA counties under 10,000",M,N,N,12,12,7,,,,2016,10,20,81129,37.213406,-106.176447
