"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2017,107062180,1,
2017,107066957,6,
2017,111928730,6,
2017,98810173,6,
2017,104582337,9,
2017,105256805,9,
2017,98810111,10,
2017,104587249,1,
2017,106235574,10,
2017,104582338,9,
2017,104587142,1,
2017,103045378,1,
2017,98464440,9,
2017,104582335,9,
2017,104582339,9,
2017,97703934,1,
2017,106651303,1,
2017,104568908,1,
2017,104580975,1,
2017,107058671,1,
2017,106249217,1,
2017,103044758,1,
2017,106245950,1,
2017,106249084,1,
2017,105256643,10,
2017,106241916,1,
2017,106250539,10,
2017,107066609,1,
2017,107061434,6,
2017,107059272,1,
2017,107063967,1,
2017,106662185,1,
2017,106238776,6,
2017,106241892,1,
2017,106248505,10,
2017,107064828,1,
2017,107062646,9,
2017,106664507,9,
2017,107063879,1,
2017,106241024,1,
2017,106241900,1,
2017,111923796,9,
2017,107058015,1,
2017,106234843,1,
2017,106248179,1,
2017,106241856,1,
2017,106241966,9,
2017,107060066,6,
2017,107064632,10,
2017,106661614,1,
2017,106252634,1,
2017,106234425,1,
2017,110971715,9,
2017,107063961,1,
2017,106249096,1,
2017,106233999,10,
2017,106244522,10,
2017,106254235,1,
2017,111927608,1,
2017,107063403,1,
2017,107065396,1,
2017,106252368,1,
2017,106245133,10,
2017,107065360,1,
2017,106250195,1,
2017,107058656,1,
2017,106234692,10,
2017,106241876,1,
2017,106238183,2,
2017,106244533,10,
2017,106234711,1,
2017,106250223,10,
2017,106667750,10,
2017,110964126,1,
2017,106673595,17,
2017,107066594,1,
2017,111925106,1,
2017,106238181,2,
2017,106252797,1,
2017,110969338,1,
2017,106252358,1,
2017,106232756,1,
2017,107063877,1,
2017,110969377,10,
2017,106252355,1,
2017,106253077,1,
2017,103484601,2,
2017,103486680,10,
2017,103382692,9,
2017,103486406,1,
2017,106232308,1,
2017,106241938,1,
2017,106664920,6,
2017,106246493,1,
2017,106234058,1,
2017,106252700,9,
2017,106238284,17,
2017,103044514,2,
2017,103485114,1,
2017,104587251,10,
2017,105257301,10,
2017,103486690,1,
2017,103385625,6,
2017,106241894,2,
2017,96542662,1,
2017,106235464,10,
2017,106244601,2,
2017,103044615,1,
2017,103484917,2,
2017,103382510,1,
2017,103485682,1,
2017,105257689,1,
2017,96542639,1,
2017,106246380,10,
2017,106235738,1,
2017,103485107,1,
2017,103382284,9,
2017,105256346,1,
2017,106252370,10,
2017,106235888,10,
2017,106241909,1,
2017,111923454,6,
2017,106254813,1,
2017,103486689,1,
2017,106246373,10,
2017,106246501,1,
2017,106238316,9,
2017,97061917,2,
2017,103382725,6,
2017,103486123,1,
2017,106235011,6,
2017,106251717,1,
2017,106250306,10,
2017,106238274,17,
2017,106246898,1,
2017,106243960,2,
2017,97061850,1,
2017,106235096,7,
2017,106235284,1,
2017,106242038,10,
2017,106241998,1,
2017,106252055,9,
2017,103045359,1,
2017,98465642,1,
2017,106662413,10,
2017,103485752,1,
2017,106235454,10,
2017,106250143,9,
2017,106247997,10,
2017,106232316,1,
2017,106245967,10,
2017,106241940,1,
2017,106239502,10,
2017,106248335,1,
2017,106247994,10,
2017,106241013,1,
2017,106241873,1,
2017,106245366,1,
2017,106242002,1,
2017,105256415,1,
2017,106251321,10,
2017,106241987,9,
2017,106245982,1,
2017,96542588,1,
2017,103484949,1,
2017,103382714,2,
2017,103386166,1,
2017,106241902,10,
2017,106251638,10,
2017,106246497,1,
2017,106242041,6,
2017,103382558,10,
2017,106248336,1,
2017,103485055,9,
2017,105256349,1,
2017,106246993,1,
2017,103486303,9,
2017,106241932,10,
2017,106247996,10,
2017,103045212,10,
2017,106248440,2,
2017,103044551,10,
2017,103485758,1,
